               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10674,            0.031923,            0.049283,            0.010669,             0.03125,           0.0029649,          0.00055782,            0.075727,            0.027453,            0.035675,              0.0008,              0.0008,              0.0928
                   1,             0.09029,            0.033157,            0.043548,            0.031151,             0.03125,              0.0102,           0.0024247,            0.066694,             0.02508,            0.035803,           0.0016958,           0.0016958,            0.084696
                   2,            0.083245,            0.029745,            0.043702,            0.012027,               0.025,           0.0040636,           0.0010373,            0.064426,            0.022953,            0.035531,           0.0025871,           0.0025871,            0.076587
                   3,            0.075578,              0.0303,            0.041049,            0.047963,               0.025,            0.010241,           0.0019315,            0.061716,            0.020209,            0.034899,            0.003474,            0.003474,            0.068474
                   4,            0.064957,            0.028014,            0.039495,           0.0097538,              0.1125,           0.0071801,            0.001444,            0.055116,            0.018216,            0.033458,           0.0043564,           0.0043564,            0.060356
                   5,            0.064818,            0.028544,            0.045917,            0.023904,            0.078977,            0.013334,           0.0028379,            0.053605,            0.016007,            0.032131,           0.0052344,           0.0052344,            0.052234
                   6,             0.06059,            0.024133,            0.041156,            0.025877,             0.13125,            0.024434,           0.0061581,            0.053499,            0.013801,            0.029945,           0.0061079,           0.0061079,            0.044108
                   7,            0.055976,            0.023273,            0.036442,            0.050115,            0.054955,            0.017829,           0.0049286,            0.046293,             0.01271,            0.031582,            0.006977,            0.006977,            0.035977
                   8,            0.062521,            0.020521,            0.039452,             0.56341,             0.10625,            0.031093,           0.0069997,             0.04859,            0.011653,            0.031751,           0.0078416,           0.0078416,            0.027842
                   9,            0.052192,             0.02236,            0.034723,            0.039465,             0.13295,            0.021483,           0.0048278,            0.042276,            0.012056,            0.031941,           0.0087018,           0.0087018,            0.019702
                  10,            0.057408,            0.021565,            0.039516,           0.0069907,             0.11023,           0.0052854,           0.0013505,            0.043819,            0.010998,            0.032515,           0.0095574,           0.0095574,            0.011557
                  11,            0.054086,            0.019765,            0.032992,             0.73516,             0.03125,            0.046849,            0.024827,            0.052871,            0.010475,            0.032029,           0.0097278,           0.0097278,           0.0097278
                  12,            0.067214,            0.021676,            0.036518,            0.052938,             0.05625,              0.0187,           0.0045257,            0.042085,            0.010254,             0.03211,           0.0097278,           0.0097278,           0.0097278
                  13,            0.059741,            0.018266,             0.03352,             0.42736,            0.086027,              0.0658,            0.014483,            0.044748,             0.01038,             0.02941,            0.009703,            0.009703,            0.009703
                  14,            0.047252,            0.019163,             0.03498,            0.028214,              0.1375,             0.02733,             0.00774,            0.038751,            0.010218,            0.029425,           0.0096783,           0.0096783,           0.0096783
                  15,            0.053531,            0.018945,             0.03372,             0.35385,              0.1125,            0.054967,            0.011618,            0.037891,            0.010196,            0.029378,           0.0096535,           0.0096535,           0.0096535
                  16,            0.055094,             0.02023,            0.034594,             0.14105,             0.13624,            0.086437,             0.02309,            0.035428,            0.010486,            0.028732,           0.0096288,           0.0096288,           0.0096288
                  17,            0.040209,            0.021427,            0.034159,             0.43085,             0.15495,             0.12556,            0.038142,            0.035633,            0.010653,             0.02868,            0.009604,            0.009604,            0.009604
                  18,            0.053816,            0.018346,            0.032931,             0.36488,             0.19736,             0.11799,              0.0336,            0.039196,            0.010581,             0.02884,           0.0095793,           0.0095793,           0.0095793
                  19,            0.051473,            0.017839,            0.035348,              0.3803,                0.15,            0.087601,            0.029746,            0.045169,            0.011351,              0.0291,           0.0095545,           0.0095545,           0.0095545
                  20,            0.061002,            0.018466,            0.037414,             0.45536,               0.175,             0.15975,            0.045776,            0.037113,            0.011665,            0.029199,           0.0095298,           0.0095298,           0.0095298
                  21,            0.055256,            0.020759,            0.037136,             0.39056,               0.125,             0.11447,             0.02987,            0.042053,            0.010891,            0.028538,            0.009505,            0.009505,            0.009505
                  22,            0.053155,             0.01859,            0.034696,             0.55781,             0.12295,             0.12634,            0.046073,            0.035811,            0.010299,             0.02789,           0.0094803,           0.0094803,           0.0094803
                  23,            0.045789,            0.021373,            0.032132,            0.074254,             0.22273,            0.086965,            0.021342,            0.040174,           0.0099093,            0.027817,           0.0094555,           0.0094555,           0.0094555
                  24,            0.044032,             0.01819,            0.031227,            0.094354,             0.25398,             0.10819,            0.041142,            0.035825,           0.0099439,            0.027621,           0.0094307,           0.0094307,           0.0094307
                  25,            0.044748,            0.018099,            0.033568,             0.10918,             0.25398,             0.10885,            0.039726,            0.034949,           0.0098511,            0.027292,            0.009406,            0.009406,            0.009406
